,date_time,temperature,precipitation,wind_speed,humidity,radiation,total_cloudiness,visibility,ground_temp,now_aod,before_hour_aod
0,05-06 01:00:00,19.86437382,0.0,0.822489391,98.92543585,0.0,7.547327944,743.2624849,20.42906155,0.0,0.0
1,05-06 01:00:10,19.90810568,0.0,0.883391288,99.09161626,0.0,6.534822592,665.7514506,20.59108412,0.0,0.0
2,05-06 01:00:20,20.02728917,0.0,0.828924387,99.05663505,0.0,6.820024093,626.0049839,20.36515904,0.0,0.0
3,05-06 01:00:30,20.21416445,0.0,0.895508389,99.07476618,0.0,7.30196063,658.9788831,20.48251251,0.0,0.0
4,05-06 01:00:40,19.81551511,0.0,0.814909151,98.9715065,0.0,7.149459305,705.8213436,20.62409742,0.0,0.0
5,05-06 01:00:50,19.86486192,0.0,0.841151571,98.91790723,0.0,7.004167613,772.8221704,20.57293002,0.0,0.0
6,05-06 01:01:00,19.83933161,0.0,0.84025821,98.95437467,0.0,6.785385538,646.7343016,20.53999357,0.0,0.0
7,05-06 01:01:10,20.19712082,0.0,0.894525764,99.01028571,0.0,6.182571888,675.3545333,20.38340447,0.0,0.0
8,05-06 01:01:20,19.80769184,0.0,0.890252301,98.90593619,0.0,6.689408855,676.7898103,20.57138279,0.0,0.0
9,05-06 01:01:30,19.73582475,0.0,0.811355296,98.9676101,0.0,7.324945606,638.7180663,20.55981628,0.0,0.0
10,05-06 01:01:40,19.91148862,0.0,0.862063135,98.98466533,0.0,7.139134332,748.6021211,20.42856279,0.0,0.0
11,05-06 01:01:50,19.92060465,0.0,0.873412146,98.96747424,0.0,7.353131114,644.8854432,20.33356682,0.0,0.0
12,05-06 01:02:00,19.74896985,0.0,0.786854403,98.92290049,0.0,7.058596191,670.7299822,20.67482837,0.0,0.0
13,05-06 01:02:10,20.03082785,0.0,0.801208467,98.91605556,0.0,7.130570285,693.7093724,20.68777373,0.0,0.0
14,05-06 01:02:20,20.05550659,0.0,0.84884587,98.91948039,0.0,7.296076927,752.5240612,20.26892498,0.0,0.0
15,05-06 01:02:30,19.84299627,0.0,0.84118965,99.04691316,0.0,5.830306212,643.5424621,20.54349777,0.0,0.0
16,05-06 01:02:40,20.18637053,0.0,0.815517366,99.01697053,0.0,7.512537895,661.2478106,20.44243025,0.0,0.0
17,05-06 01:02:50,19.69938672,0.0,0.831433192,99.06402489,0.0,7.814125369,674.0853994,20.34047343,0.0,0.0
18,05-06 01:03:00,20.12572577,0.0,0.809209214,99.01100951,0.0,7.127550861,705.7279915,20.63569451,0.0,0.0
19,05-06 01:03:10,19.92671928,0.0,0.884357601,98.97853857,0.0,6.816792484,721.0982821,20.70226248,0.0,0.0
20,05-06 01:03:20,20.03237092,0.0,0.853089046,99.06915881,0.0,6.604675689,634.0271535,20.38320606,0.0,0.0
21,05-06 01:03:30,20.04992182,0.0,0.861483099,98.92709061,0.0,8.133102897,649.0370073,20.44525062,0.0,0.0
22,05-06 01:03:40,19.90385231,0.0,0.863861381,98.9173341,0.0,7.008130025,693.1237575,20.5637079,0.0,0.0
23,05-06 01:03:50,20.14554137,0.0,0.827454499,99.08201472,0.0,7.819975434,701.275215,20.45202763,0.0,0.0
24,05-06 01:04:00,20.04732432,0.0,0.891770949,98.91378138,0.0,7.277449097,736.2864207,20.59618681,0.0,0.0
25,05-06 01:04:10,19.83127473,0.0,0.848292596,98.9205098,0.0,6.619289016,656.8912162,20.36352428,0.0,0.0
26,05-06 01:04:20,19.99445161,0.0,0.842393816,98.9991343,0.0,6.798787061,695.7885826,20.42884366,0.0,0.0
27,05-06 01:04:30,19.89268791,0.0,0.846769879,98.97093652,0.0,7.506955534,750.752701,20.42072145,0.0,0.0
28,05-06 01:04:40,19.85766374,0.0,0.848668312,98.93709427,0.0,7.42621073,659.1869354,20.52218629,0.0,0.0
29,05-06 01:04:50,19.97954323,0.0,0.892954967,99.00505442,0.0,7.934050037,678.7566183,20.50251036,0.0,0.0
30,05-06 01:05:00,19.8704608,0.0,0.845881179,99.02375299,0.0,7.249681644,658.6278548,20.52283491,0.0,0.0
31,05-06 01:05:10,19.70208273,0.0,0.848809776,99.04908426,0.0,6.901617495,701.0223792,20.43064996,0.0,0.0
32,05-06 01:05:20,19.80372711,0.0,0.80780337,98.91752695,0.0,6.685664158,754.4579865,20.43223544,0.0,0.0
33,05-06 01:05:30,19.75690128,0.0,0.863678294,99.05755422,0.0,7.061946248,678.9775016,20.66032401,0.0,0.0
34,05-06 01:05:40,20.19121146,0.0,0.833447767,98.99007038,0.0,5.878010696,761.3361479,20.55602816,0.0,0.0
35,05-06 01:05:50,20.1142076,0.0,0.866158074,98.99330627,0.0,8.051707896,760.8700097,20.62585545,0.0,0.0
36,05-06 01:06:00,20.1651606,0.0,0.808777628,99.08199599,0.0,7.05975863,688.733083,20.31316711,0.0,0.0
37,05-06 01:06:10,19.99193307,0.0,0.875631947,99.00503918,0.0,7.494906081,602.7566488,20.34730799,0.0,0.0
38,05-06 01:06:20,20.22010986,0.0,0.886380741,99.01524436,0.0,6.984913764,652.6133751,20.41409872,0.0,0.0
39,05-06 01:06:30,19.75131471,0.0,0.885299737,98.91306525,0.0,8.102866725,787.788102,20.29842217,0.0,0.0
40,05-06 01:06:40,19.73459927,0.0,0.825202589,99.00749321,0.0,6.890888154,697.5949747,20.55161341,0.0,0.0
41,05-06 01:06:50,19.8584201,0.0,0.887988547,98.95777002,0.0,8.099350756,712.9820306,20.44239554,0.0,0.0
42,05-06 01:07:00,20.25319215,0.0,0.796254339,98.98673777,0.0,7.290525679,623.1607395,20.55912286,0.0,0.0
43,05-06 01:07:10,19.89325682,0.0,0.895300011,98.91954913,0.0,6.708578233,657.3582261,20.55447459,0.0,0.0
44,05-06 01:07:20,20.22040733,0.0,0.838871834,98.99820529,0.0,7.502688001,685.5947212,20.55402991,0.0,0.0
45,05-06 01:07:30,19.91294483,0.0,0.807786244,98.99403018,0.0,6.510282872,737.4929864,20.4923566,0.0,0.0
46,05-06 01:07:40,19.66846577,0.0,0.874579612,98.94496165,0.0,8.107389715,752.7356691,20.46457784,0.0,0.0
47,05-06 01:07:50,20.03704442,0.0,0.854311802,99.08586031,0.0,6.770202387,626.9872763,20.30692487,0.0,0.0
