Time - Plot 0,Power(kW) - Plot 0
8:00:10,130.711
8:00:20,131.031
8:00:30,131.352
8:00:40,131.672
8:00:50,131.993
8:01:00,132.314
8:01:10,132.634
8:01:20,132.955
8:01:30,133.275
8:01:40,133.596
8:01:50,133.917
8:02:00,134.237
8:02:10,134.558
8:02:20,134.879
8:02:30,135.199
8:02:40,135.52
8:02:50,135.84
8:03:00,136.161
8:03:10,136.482
8:03:20,136.802
8:03:30,137.123
8:03:40,137.443
8:03:50,137.764
8:04:00,138.085
8:04:10,138.405
8:04:20,138.726
8:04:30,139.046
8:04:40,139.367
8:04:50,139.688
8:05:00,140.008
8:05:10,140.329
8:05:20,140.65
8:05:30,140.97
8:05:40,141.291
8:05:50,141.611
8:06:00,141.932
8:06:10,142.253
8:06:20,142.573
8:06:30,142.894
8:06:40,143.214
8:06:50,143.535
8:07:00,143.856
8:07:10,144.176
8:07:20,144.497
8:07:30,144.817
8:07:40,145.138
8:07:50,145.459
8:08:00,145.779
8:08:10,146.1
8:08:20,146.421
8:08:30,146.741
8:08:40,147.062
8:08:50,147.382
8:09:00,147.703
8:09:10,148.024
8:09:20,148.344
8:09:30,148.665
8:09:40,148.985
8:09:50,149.306
8:10:00,149.627
8:10:10,149.947
8:10:20,150.268
8:10:30,150.588
8:10:40,150.909
8:10:50,151.23
8:11:00,151.55
8:11:10,151.871
8:11:20,152.192
8:11:30,152.512
8:11:40,152.833
8:11:50,153.153
8:12:00,153.474
8:12:10,153.795
8:12:20,154.115
8:12:30,154.436
8:12:40,154.756
8:12:50,155.077
8:13:00,155.398
8:13:10,155.718
8:13:20,156.039
8:13:30,156.359
8:13:40,156.68
8:13:50,157.001
8:14:00,157.321
8:14:10,157.642
8:14:20,157.963
8:14:30,158.283
8:14:40,158.604
8:14:50,158.924
8:15:00,159.245
8:15:10,159.566
8:15:20,159.886
8:15:30,160.207
8:15:40,160.527
8:15:50,160.848
8:16:00,161.169
8:16:10,161.489
8:16:20,161.81
8:16:30,162.13
