일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),전운량(10분위),시정(10m),지면온도(°C)
2020-05-01 1:00,14.6,,0.8,98,,0,1325,12.3
2020-05-01 2:00,14,,1.1,99,,0,1109,11.7
2020-05-01 3:00,13.3,,0.8,99,,1,970,11.1
2020-05-01 4:00,12.8,,0.6,99,,6,824,10.4
2020-05-01 5:00,12.6,,0.6,99,,6,677,10.4
2020-05-01 6:00,12.6,,0.4,99,0,0,510,10.4
2020-05-01 7:00,14.1,,0.7,99,0.6,1,677,13.5
2020-05-01 8:00,16.8,,0.2,96,1,0,847,19.1
2020-05-01 9:00,19.8,,0.6,81,1,0,1043,28.4
2020-05-01 10:00,22.4,,1,70,1,0,1306,36
2020-05-01 11:00,24.2,,1.8,64,1,0,1018,41.8
2020-05-01 12:00,26.6,,1.3,56,1,1,1477,47
2020-05-01 13:00,27.8,,1.8,53,1,3,1239,48.8
2020-05-01 14:00,28.9,,1.4,47,1,2,1502,49.4
2020-05-01 15:00,30.3,,0.7,41,1,0,1815,48.4
2020-05-01 16:00,29.3,,2.1,49,1,0,1217,43.3
2020-05-01 17:00,29.3,,1.8,51,0.9,0,1453,38
2020-05-01 18:00,28.1,,1.2,54,0.9,0,1394,32
2020-05-01 19:00,26.3,,0.9,60,0.3,0,1413,25.2
2020-05-01 20:00,23.5,,0.8,74,0,0,1343,21.5
2020-05-01 21:00,22,,0.3,83,,0,1260,19.2
2020-05-01 22:00,20.8,,0.3,90,,0,1083,17.6
2020-05-01 23:00,19.6,,0.7,91,,0,1172,16
2020-05-02 0:00,18.1,,0.9,91,,0,1207,14.9
2020-05-02 1:00,17,,0.7,94,,6,1322,14.1
2020-05-02 2:00,16.2,,0.7,96,,7,1314,13.7
2020-05-02 3:00,15.6,,1,98,,7,1130,13.6
2020-05-02 4:00,15.5,,0.6,98,,8,1062,13.3
2020-05-02 5:00,15.1,,0.9,99,,10,1024,13.5
2020-05-02 6:00,15.3,,0.8,99,0,9,933,13.5
2020-05-02 7:00,16.5,,0.2,98,0,9,748,16.4
2020-05-02 8:00,19,,0.2,94,0.2,8,848,21.2
2020-05-02 9:00,20.6,,0.4,85,0.3,9,950,25
2020-05-02 10:00,23.9,,1.5,73,0.4,8,1145,35.2
2020-05-02 11:00,25.1,,1.1,60,1,8,1455,41.6
2020-05-02 12:00,25.1,,1.5,61,0.8,7,1318,38.7
2020-05-02 13:00,26.6,,1,54,0.8,8,1680,43.3
2020-05-02 14:00,26.1,,0.8,55,0,9,1620,38.2
2020-05-02 15:00,27.5,,1.4,52,0.6,8,1628,40.3
2020-05-02 16:00,27.2,,0.5,52,0.4,10,1807,34
2020-05-02 17:00,26.9,,0.1,52,0,10,1919,30.2
2020-05-02 18:00,24.8,,2.1,47,0,10,1040,25.8
2020-05-02 19:00,23.7,,1.4,51,0,10,1272,23.6
2020-05-02 20:00,20.5,0,1.5,77,0,10,702,19.6
2020-05-02 21:00,20.4,0.2,0.9,81,,10,1644,18.1
2020-05-02 22:00,19.7,0,0.5,90,,8,1226,17.9
2020-05-02 23:00,20.2,,0.6,77,,6,1172,17.2
2020-05-03 0:00,19.6,,1.3,81,,8,869,16.8
2020-05-03 1:00,19.4,,1.9,86,,10,1083,16.9
2020-05-03 2:00,19.6,,0.9,75,,10,1825,16.5
2020-05-03 3:00,18.6,,1.8,92,,9,1307,16.4
2020-05-03 4:00,17.9,0.1,1.6,97,,10,939,16.8
2020-05-03 5:00,16.8,0.2,1.6,99,,10,896,16.5
2020-05-03 6:00,16.6,1.1,1.3,99,0,10,495,16.5
2020-05-03 7:00,16.4,1.1,1.8,99,0,6,544,16.8
2020-05-03 8:00,16.9,,1.9,99,0,9,793,17.3
2020-05-03 9:00,17.3,0.4,1.4,99,0,9,773,18.9
2020-05-03 10:00,17.4,0.1,1.4,99,0,10,485,19.6
2020-05-03 11:00,17.6,1.4,1,99,0,10,398,20.3
2020-05-03 12:00,17.8,3.3,1,99,0,10,267,20
2020-05-03 13:00,18.3,1.8,1.3,99,0,10,479,20.7
2020-05-03 14:00,18.5,0,0.9,99,0,10,758,20.9
2020-05-03 15:00,19,,0.9,99,0,8,1179,20.6
2020-05-03 16:00,19.9,,0.7,97,0,9,1168,22.5
2020-05-03 17:00,19.5,,0.6,97,0,9,1384,20.1
2020-05-03 18:00,18.9,0,0.2,99,0,9,878,19.5
2020-05-03 19:00,18.8,,0.4,99,0,8,962,18.8
2020-05-03 20:00,18.2,,0.6,99,0,8,383,18.4
2020-05-03 21:00,18.1,,0.7,99,,9,387,18.2
2020-05-03 22:00,18.2,,0.1,99,,8,350,18.2
2020-05-03 23:00,18.1,,0.2,99,,8,398,17.6
2020-05-04 0:00,17.1,,0.5,99,,6,297,16.7
2020-05-04 1:00,17.4,,0.4,99,,8,577,17.1
2020-05-04 2:00,16.9,,0.7,99,,9,384,16.9
2020-05-04 3:00,16.9,,1,99,,9,566,16.9
2020-05-04 4:00,16.9,,0.2,99,,10,437,16.6
2020-05-04 5:00,16.6,,0.4,99,,10,295,15.9
2020-05-04 6:00,16.8,,1.6,99,0,0,431,15.3
2020-05-04 7:00,17.4,,1.3,99,0,2,500,17.5
2020-05-04 8:00,20.6,,1.2,97,0.9,3,1056,21
2020-05-04 9:00,22.1,,2.1,84,1,0,1216,26.2
2020-05-04 10:00,24.5,,2.2,70,1,4,1354,30.6
2020-05-04 11:00,25,,2.1,65,0.8,7,1661,31.6
2020-05-04 12:00,25.8,,2.2,60,1,5,1779,33.1
2020-05-04 13:00,27.2,,2.1,56,1,5,1909,36.5
2020-05-04 14:00,28.2,,2.7,54,1,7,1961,38.3
2020-05-04 15:00,27.6,,1.9,53,0.9,6,1977,35.2
2020-05-04 16:00,28.4,,2.5,50,0.8,0,1971,36
2020-05-04 17:00,28,,1.4,48,1,0,2000,33.2
2020-05-04 18:00,26.9,,1.3,51,0.9,0,2000,28.4
2020-05-04 19:00,24.8,,1,62,0.1,6,2000,23.7
2020-05-04 20:00,23,,1.4,72,0,7,2000,20.9
2020-05-04 21:00,22.4,,1.6,70,,7,952,19.9
2020-05-04 22:00,20.6,,1.7,79,,7,1299,18.6
2020-05-04 23:00,18,,1.7,88,,7,1314,17.2
2020-05-05 0:00,17.5,,2.3,87,,7,1561,17.6
2020-05-05 1:00,16.8,,2.6,88,,5,1520,17.2
2020-05-05 2:00,16.6,,0.7,88,,9,1515,16.9
2020-05-05 3:00,16.5,,1.3,86,,9,1530,16.6
2020-05-05 4:00,16.2,,1,85,,9,1807,16.2
2020-05-05 5:00,16.1,,1.1,83,,9,1950,16
2020-05-05 6:00,16.6,,0.9,79,0,6,1935,16.1
2020-05-05 7:00,16.7,,1,77,0,7,2000,16.7
2020-05-05 8:00,16.8,,1.3,77,0,8,1970,18.1
2020-05-05 9:00,17.3,,1,76,0,9,1729,20.6
2020-05-05 10:00,17.8,,1.3,74,0,9,1634,21.9
2020-05-05 11:00,18.5,,1.2,70,0,8,1912,27.1
2020-05-05 12:00,20.2,,2,63,0.6,7,1752,33
2020-05-05 13:00,18.2,0.3,0.7,91,0.1,10,965,21.7
2020-05-05 14:00,17.9,0.1,1,99,0,10,679,21.2
2020-05-05 15:00,18.5,0.2,0.3,93,0,10,1165,21.4
2020-05-05 16:00,17.8,0.1,1.2,99,0,10,652,19.3
