datetime,temperature,precipitation,wind_speed,humidity,radiation,total_cloudiness,visibility,ground_temp
2020-07-01 0:00,19.6,,1,99,,,2000,21
2020-07-01 1:00,19.4,0,1.3,99,,4,2000,20.8
2020-07-01 2:00,19.2,0,1.7,99,,9,2000,20.3
2020-07-01 3:00,18.4,0,1.5,99,,10,1774,19.9
2020-07-01 4:00,18.4,0.1,1.3,99,,10,1978,19.9
2020-07-01 5:00,18.6,0,1.1,99,,8,2000,19.8
2020-07-01 6:00,18.6,,1.6,99,0,3,2000,19.8
2020-07-01 7:00,18.9,,1.3,99,0,5,2000,20.4
2020-07-01 8:00,20.5,,1.2,88,0.3,8,2000,22.4
2020-07-01 9:00,21.7,,1.3,86,0.5,9,2000,25.9
2020-07-01 10:00,21.9,,1.8,82,0.3,9,2000,26.4
2020-07-01 11:00,22.3,,1.5,75,0.1,10,2000,26.3
2020-07-01 12:00,23.1,,1.2,73,0,9,2000,28.6
2020-07-01 13:00,25,,1.1,70,0.2,10,2000,34.8
2020-07-01 14:00,25.2,,2,64,0.6,8,2000,33.5
2020-07-01 15:00,24.6,,1.2,73,0,9,2000,28.8
2020-07-01 16:00,24.1,,0.8,75,0,9,2000,26.7
2020-07-01 17:00,24.6,,1.1,76,0,9,2000,27.4
2020-07-01 18:00,24,,1,76,0,9,2000,25.3
2020-07-01 19:00,23.3,,0.7,86,0,10,2000,24.2
2020-07-01 20:00,22.7,,0.7,83,0,10,2000,22.9
2020-07-01 21:00,21.3,,0.7,98,,6,2000,21.7
2020-07-01 22:00,20.1,,0.5,99,,7,1978,20.6
2020-07-01 23:00,19.4,,0.9,99,,3,1834,19.9
2020-07-02 0:00,19,,0.5,99,,,1629,19.3
2020-07-02 1:00,18.2,,0.2,99,,1,1295,18.8
2020-07-02 2:00,17.8,,0,99,,5,820,18.5
2020-07-02 3:00,18,,0.3,99,,6,1333,18.3
2020-07-02 4:00,17.7,,0.6,99,,8,784,18.3
2020-07-02 5:00,17.6,,0.4,99,,6,657,18.1
2020-07-02 6:00,17.5,,0.6,99,0,5,618,18.3
2020-07-02 7:00,18.8,,0.2,99,0.2,5,913,20.4
2020-07-02 8:00,21,,0.3,98,0.8,4,1088,22.4
2020-07-02 9:00,22.1,,0.6,91,1,8,1063,27.1
2020-07-02 10:00,24.4,,0.4,85,0.7,8,1159,30.4
2020-07-02 11:00,25.6,,0.6,68,1,0,1509,35.5
2020-07-02 12:00,27,,1.2,61,1,3,1984,38.2
2020-07-02 13:00,28.3,,0.9,60,0.8,5,1965,38.5
2020-07-02 14:00,28.9,,0.9,59,0.9,7,1927,40.9
2020-07-02 15:00,28,,1.3,59,0.7,5,1933,38
2020-07-02 16:00,27.8,,1,58,0.3,9,1997,33.6
2020-07-02 17:00,27.6,,0.8,58,0,10,2000,31.6
2020-07-02 18:00,27.1,,1.2,63,0,10,1998,29.9
2020-07-02 19:00,26,,0.6,70,0,10,1962,27.7
2020-07-02 20:00,25.2,,0.6,77,0,7,1823,25.7
2020-07-02 21:00,24.5,,0.8,81,,7,1697,24.2
2020-07-02 22:00,24.1,,0.9,82,,9,1575,23.6
2020-07-02 23:00,23.6,,1.3,85,,10,1369,23.1
2020-07-03 0:00,23,,0.5,82,,,2000,22.5
2020-07-03 1:00,21.1,,0.5,98,,9,1477,21.9
2020-07-03 2:00,20.7,,0.8,99,,9,1598,21.4
2020-07-03 3:00,20,,1.1,99,,10,1993,20.8
2020-07-03 4:00,19.7,,0.5,99,,9,2000,20.3
2020-07-03 5:00,19.3,,0.7,99,,10,2000,20.2
2020-07-03 6:00,19.3,,0.5,99,0,10,2000,20.4
2020-07-03 7:00,20.4,,0.2,94,0,10,2000,21
2020-07-03 8:00,21.2,,0.6,88,0,10,2000,22.5
2020-07-03 9:00,21.2,,0.8,83,0,10,2000,23.5
2020-07-03 10:00,21.9,,0.6,79,0,10,2000,25.2
2020-07-03 11:00,22.2,0,1.4,78,0,10,2000,25
2020-07-03 12:00,22.5,0,2.2,79,0,10,1964,25.3
2020-07-03 13:00,23.1,0,1.4,76,0,10,2000,26.5
2020-07-03 14:00,23.4,0,1.7,76,0,10,2000,26.6
2020-07-03 15:00,23.5,0,1.9,75,0,10,2000,27
2020-07-03 16:00,22.9,,2.8,76,0,10,2000,26.4
2020-07-03 17:00,22.7,,1.7,69,0,10,2000,24.7
2020-07-03 18:00,22.3,,1.5,72,0,10,2000,23.8
2020-07-03 19:00,21.5,0,1.1,80,0,10,2000,22.7
2020-07-03 20:00,20.9,0,1,87,0,10,2000,21.8
2020-07-03 21:00,19.2,0.4,0.6,99,,10,1491,21.1
2020-07-03 22:00,18.5,1.7,0.6,99,,10,565,20.6
2020-07-03 23:00,18.2,2.6,0.9,99,,10,577,20.3
2020-07-04 0:00,18.1,1.9,0.4,99,,,1405,20.2
2020-07-04 1:00,18.1,0,0.3,99,,8,1542,20.2
2020-07-04 2:00,18,,0.6,99,,6,1623,20.1
2020-07-04 3:00,18,,0.6,99,,9,1209,20
2020-07-04 4:00,18.2,,0.8,99,,9,1600,20
2020-07-04 5:00,18.1,,0.8,99,,9,1285,20
2020-07-04 6:00,18.1,,0.7,99,0,7,1425,20.2
2020-07-04 7:00,18.6,,0.6,99,0,5,1932,21.2
2020-07-04 8:00,18.9,0,0.1,99,0,7,1868,22.1
2020-07-04 9:00,19.6,,0.3,99,0,10,2000,23.7
2020-07-04 10:00,21,,0.5,92,0.1,10,2000,28.3
2020-07-04 11:00,22.7,,0.8,82,0,10,2000,29.1
2020-07-04 12:00,25,,0.5,73,0.2,10,2000,33.9
2020-07-04 13:00,23.7,,0.8,74,0.4,10,2000,31.9
2020-07-04 14:00,24.1,,1.1,70,0.2,9,2000,31.1
2020-07-04 15:00,24.7,,0.7,73,0.5,8,2000,32.4
2020-07-04 16:00,24.8,,1,70,0,8,2000,30.1
2020-07-04 17:00,24.3,,1,76,0,10,2000,27.6
2020-07-04 18:00,24.4,,0.7,78,0,9,2000,27
2020-07-04 19:00,23.6,,0.3,82,0,9,2000,25
2020-07-04 20:00,22.7,,0.3,86,0,6,2000,23.2
2020-07-04 21:00,21.7,,0.6,98,,7,2000,22.7
2020-07-04 22:00,21.5,,0.4,98,,10,2000,22.3
2020-07-04 23:00,21.2,,0.4,98,,10,2000,22
2020-07-05 0:00,20.6,,0.9,99,,,2000,21.6
2020-07-05 1:00,20.4,,0.3,99,,5,2000,21.5
2020-07-05 2:00,20.3,,0.6,99,,8,2000,21.3
2020-07-05 3:00,20,,0.5,99,,8,2000,21.1
2020-07-05 4:00,20,,0.3,99,,8,1967,20.9
2020-07-05 5:00,19.1,,0.6,99,,7,1961,20.2
2020-07-05 6:00,19.1,,0.5,99,0,8,1994,20.1
2020-07-05 7:00,19.9,,0.4,99,0.1,9,1133,21.8
2020-07-05 8:00,21.5,,0.6,98,0.3,8,2000,24.1
2020-07-05 9:00,22.9,,1,92,0.1,10,2000,26.5
2020-07-05 10:00,23.4,,0.6,85,0.1,9,2000,28.5
2020-07-05 11:00,24.1,,0.4,79,0,10,2000,31.2
2020-07-05 12:00,24.8,,1.3,79,0,9,2000,30.8
